"","email","url_1","clicks_1","url_2","clicks_2","url_3","clicks_3","url_4","clicks_4","url_5","clicks_5","url_6","clicks_6","url_7","url_chart","clicks_chart","url_question","clicks_question","url_events","clicks_events","plainTextPCT","clicks_7","url_8","clicks_8","url_9","clicks_9","url_10","clicks_10","url_11","clicks_11","url_12","clicks_12","url_13","clicks_13","url_14","clicks_14","url_15","clicks_15","url_16","clicks_16","url_17","clicks_17","url_18","clicks_18","url_19","clicks_19","url_20","clicks_20"
"1","NL 2022-01-05 Spark","https://rmi.org/united-states-steps-up-on-climate/","475","https://rmi.org/insight/metrics-and-mechanisms-to-finance-managed-coal-phaseout/","420","https://rmi.org/reality-check-keeping-the-lights-on-in-extreme-winter-weather/","401","https://rmi.org/insight/growing-to-its-potential/","147","https://rmi.org/energy-transition-in-2022/","107","https://rmi.org/rmis-most-read-stories-of-2022/","71",NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","78","0.045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NL 2023-01-08 Upcoming Events","https://rmi.org/about/","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","358","0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NL 2023-01-12 Spark","https://rmi.org/clean-energy-101-virtual-power-plants/","1000","https://rmi.org/insight/hvac-choices-for-student-health-and-learning/","438","https://rmi.org/the-united-states-has-the-only-major-power-grid-without-a-plan/","428","https://rmi.org/insight/virtual-power-plants-real-benefits/","64","https://rmi.org/all-clean-hydrogen-is-not-equally-clean/","8",NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","55","0.034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","NL 2023-01-15 Upcoming Events","https://rmi.org/about/","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","226","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","NL 2023-01-19 Spark","https://rmi.org/with-concrete-less-is-more/","1207","https://rmi.org/how-utilities-can-save-customers-billions-of-dollars/","512","https://rmi.org/financing-1-5c-six-trends-to-watch-in-2023/","478","https://rmi.org/insight/peak-fossil-fuel-demand-for-electricity/","76","https://rmi.org/embodied-carbon-cities-policy-toolkit/","71",NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","116","0.031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","NL 2023-01-22 Upcoming Events","https://rmi.org/about/","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","288","0.013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","NL 2023-01-26 Spark","https://rmi.org/insight/toward-a-technology-ecosystem-for-carbon-accounting/","173","https://rmi.org/a-utility-investment-plan-is-like-a-camel/","113","https://rmi.org/insight/peak-fossil-fuel-demand-for-electricity/","61","https://rmi.org/invest-in-youth-to-ramp-up-clean-energy-transition/","17","https://rmi.org/theres-never-been-a-better-time-to-electrify-your-fleet/","15","https://rmi.org/insight/reimagining-resource-planning/","13","https://rmi.org/a-severe-winter-means-high-energy-bills/","Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","20","0.051","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NL 2023-01-26 Spark","https://rmi.org/insight/toward-a-technology-ecosystem-for-carbon-accounting/","240","https://rmi.org/a-utility-investment-plan-is-like-a-camel/","72","https://rmi.org/insight/peak-fossil-fuel-demand-for-electricity/","51","https://rmi.org/theres-never-been-a-better-time-to-electrify-your-fleet/","15","https://rmi.org/a-severe-winter-means-high-energy-bills/","13","https://rmi.org/invest-in-youth-to-ramp-up-clean-energy-transition/","12","https://rmi.org/insight/reimagining-resource-planning/","Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","16","0.074","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","NL 2023-01-26 Spark","https://rmi.org/insight/toward-a-technology-ecosystem-for-carbon-accounting/","447","https://rmi.org/a-utility-investment-plan-is-like-a-camel/","132","https://rmi.org/insight/peak-fossil-fuel-demand-for-electricity/","105","https://rmi.org/theres-never-been-a-better-time-to-electrify-your-fleet/","38","https://rmi.org/insight/reimagining-resource-planning/","29","https://rmi.org/a-severe-winter-means-high-energy-bills/","24","https://rmi.org/invest-in-youth-to-ramp-up-clean-energy-transition/","Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","37","0.053","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","NL 2023-01-29 Upcoming Events","https://rmi.org/about/","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","249","0.015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
